,title,start_time,exercise_title,weight_kg,reps,rpe,week_of_a_year,muscle_group
0,Shoulders Overheard Arnold,2022-11-04 06:44:00,Overhead Press (Barbell),20.0,12,8.0,1,Shoulders
1,Shoulders Overheard Arnold,2022-11-04 06:44:00,Overhead Press (Barbell),20.0,12,8.0,1,Shoulders
2,Shoulders Overheard Arnold,2022-11-04 06:44:00,Overhead Press (Barbell),20.0,12,8.0,1,Shoulders
3,Shoulders Overheard Arnold,2022-11-04 06:44:00,Overhead Press (Barbell),25.0,8,8.0,1,Shoulders
4,Shoulders Overheard Arnold,2022-11-04 06:44:00,Overhead Press (Barbell),30.0,8,8.0,1,Shoulders
5,Shoulders Overheard Arnold,2022-11-04 06:44:00,Overhead Press (Barbell),35.0,6,8.0,1,Shoulders
6,Shoulders Overheard Arnold,2022-11-04 06:44:00,Overhead Press (Barbell),40.0,5,8.0,1,Shoulders
7,Shoulders Overheard Arnold,2022-11-04 06:44:00,Arnold Press (Dumbbell),12.0,12,8.0,1,Shoulders
8,Shoulders Overheard Arnold,2022-11-04 06:44:00,Arnold Press (Dumbbell),15.0,10,8.0,1,Shoulders
9,Shoulders Overheard Arnold,2022-11-04 06:44:00,Arnold Press (Dumbbell),15.0,8,8.0,1,Shoulders
10,Shoulders Overheard Arnold,2022-11-04 06:44:00,Reverse Fly (Cable),15.0,6,8.0,1,Shoulders
11,Shoulders Overheard Arnold,2022-11-04 06:44:00,Reverse Fly (Cable),5.0,15,8.0,1,Shoulders
12,Shoulders Overheard Arnold,2022-11-04 06:44:00,Reverse Fly (Cable),15.0,12,8.0,1,Shoulders
13,Shoulders Overheard Arnold,2022-11-04 06:44:00,Reverse Fly (Cable),20.0,5,8.0,1,Shoulders
14,Shoulders Overheard Arnold,2022-11-04 06:44:00,Lateral Raise (Dumbbell),7.0,12,8.0,1,Shoulders
15,Shoulders Overheard Arnold,2022-11-04 06:44:00,Lateral Raise (Dumbbell),8.0,12,8.0,1,Shoulders
16,Shoulders Overheard Arnold,2022-11-04 06:44:00,Lateral Raise (Dumbbell),9.0,10,8.0,1,Shoulders
17,Shoulders Overheard Arnold,2022-11-04 06:44:00,Lateral Raise (Dumbbell),10.0,12,8.0,1,Shoulders
18,Schmonday pushday,2023-10-30 17:31:00,Incline Bench Press (Barbell),30.0,6,6.0,1,Chest
19,Schmonday pushday,2023-10-30 17:31:00,Incline Bench Press (Barbell),30.0,4,6.0,1,Chest
20,Schmonday pushday,2023-10-30 17:31:00,Incline Bench Press (Barbell),40.0,2,6.0,1,Chest
21,Schmonday pushday,2023-10-30 17:31:00,Incline Bench Press (Barbell),65.0,4,7.5,1,Chest
22,Schmonday pushday,2023-10-30 17:31:00,Incline Bench Press (Barbell),65.0,4,7.5,1,Chest
23,Schmonday pushday,2023-10-30 17:31:00,Incline Bench Press (Barbell),65.0,4,8.0,1,Chest
24,Schmonday pushday,2023-10-30 17:31:00,Incline Bench Press (Barbell),65.0,4,8.0,1,Chest
25,Schmonday pushday,2023-10-30 17:31:00,Bench Press (Dumbbell),28.0,8,9.0,1,Chest
26,Schmonday pushday,2023-10-30 17:31:00,Bench Press (Dumbbell),28.0,8,9.5,1,Chest
27,Schmonday pushday,2023-10-30 17:31:00,Bench Press (Dumbbell),28.0,8,9.0,1,Chest
28,Schmonday pushday,2023-10-30 17:31:00,Bench Press (Dumbbell),28.0,8,9.5,1,Chest
29,Schmonday pushday,2023-10-30 17:31:00,Triceps Pushdown,65.0,10,8.0,1,Triceps
30,Schmonday pushday,2023-10-30 17:31:00,Triceps Pushdown,65.0,10,8.0,1,Triceps
31,Schmonday pushday,2023-10-30 17:31:00,Triceps Pushdown,65.0,10,9.0,1,Triceps
32,Schmonday pushday,2023-10-30 17:31:00,Triceps Pushdown,65.0,10,9.0,1,Triceps
